battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1023,yes,0.6,yes,0,yes,53,0.7999999999999999,146,3,6,905,1988,2633,17,3.0,8,yes,yes,no,2
565,yes,0.6,yes,2,yes,41,1.0,155,5,6,1263,1716,2605,11,2.0,10,yes,yes,no,2
617,yes,2.6,no,0,no,10,0.9,141,6,9,1216,1786,2771,16,8.0,12,yes,no,no,2
1823,yes,1.3,no,13,yes,44,0.7,151,2,14,1208,1212,1413,8,2.0,16,yes,yes,no,1
1823,no,1.8,no,4,yes,10,0.9,149,8,10,381,1018,3222,13,8.0,19,yes,no,yes,3
1956,no,0.6,yes,0,no,24,0.9,197,4,0,512,1149,702,16,3.0,6,yes,yes,yes,0
1447,yes,0.6,no,0,no,53,0.7999999999999999,184,7,14,386,836,1101,17,1.0,21,yes,no,no,0
511,yes,0.7,yes,2,yes,9,0.2,103,5,15,1137,1224,515,19,10.0,13,yes,no,no,0
771,yes,3.0,yes,0,no,9,0.2,192,5,1,248,874,3948,5,2.0,8,no,no,no,3
1522,yes,2.3000000000000003,no,5,yes,33,0.6,187,8,18,151,1005,3828,14,9.0,14,yes,yes,yes,3
1868,no,0.6,no,13,yes,52,0.7999999999999999,195,1,17,356,563,375,14,9.0,4,yes,no,yes,0
840,no,0.6,no,1,yes,13,0.2,206,8,4,984,1850,3556,10,9.0,20,yes,no,yes,3
597,no,1.0,yes,7,yes,23,0.2,131,3,17,441,810,3754,10,2.0,19,yes,yes,no,3
684,yes,0.6,no,4,no,19,1.1,131,4,11,902,1064,2339,11,1.0,19,no,yes,yes,1
774,no,1.2000000000000002,yes,12,no,39,0.9,91,7,14,1314,1854,2821,17,15.0,4,yes,yes,no,3
1951,no,2.7,yes,4,no,47,0.4,209,4,7,407,822,1435,11,5.0,21,no,no,yes,1
1604,yes,2.9,yes,4,yes,38,0.7999999999999999,124,3,20,466,788,1039,8,7.0,21,yes,no,no,0
505,no,1.3,yes,5,yes,8,0.5,121,3,13,201,1245,2585,11,0.0,13,yes,no,no,1
963,yes,1.5,yes,0,yes,57,0.7,124,8,3,291,1434,2784,18,,8,yes,yes,yes,2
521,yes,1.7000000000000002,yes,7,yes,51,0.4,142,4,19,550,645,3765,16,1.0,5,yes,no,yes,3
958,no,0.6,no,1,yes,41,1.1,153,7,6,511,1075,3288,17,8.0,13,yes,yes,no,3
853,no,0.6,no,3,no,21,0.5,210,5,7,1171,1263,480,12,7.0,11,yes,no,yes,0
1581,yes,0.6,yes,0,no,5,0.30000000000000004,98,7,9,1358,1739,3534,17,11.0,13,no,no,yes,3
1321,yes,1.0,no,3,yes,41,1.0,117,1,18,85,1152,2229,18,5.0,4,yes,yes,yes,1
1312,yes,2.3000000000000003,yes,0,yes,51,0.7,110,4,0,178,1919,3847,7,0.0,13,yes,yes,no,3
646,yes,2.8000000000000003,no,0,no,22,0.7999999999999999,167,8,3,311,881,1264,12,1.0,16,yes,no,no,0
591,yes,2.4,yes,1,no,61,0.7,170,4,10,429,815,2115,13,7.0,3,yes,no,yes,1
1727,yes,1.7000000000000002,yes,6,yes,6,0.6,129,2,18,609,1307,3431,6,5.0,5,yes,yes,no,3
792,no,,,16,,11,0.4,97,6,17,347,730,3171,6,,3,yes,no,yes,2
562,no,0.6,yes,15,no,50,0.4,169,2,20,1448,1613,2152,18,12.0,12,yes,yes,no,2
1349,no,3.0,no,5,no,44,0.7,142,1,14,434,967,2486,18,2.0,12,yes,no,yes,2
1648,yes,2.4,no,8,yes,41,0.30000000000000004,195,2,10,1725,1932,3341,18,,20,yes,yes,no,3
1197,yes,2.9,no,1,yes,20,0.9,120,2,14,1580,1652,506,9,3.0,13,yes,yes,no,0
1516,no,3.0,no,0,no,27,0.30000000000000004,128,3,1,186,1810,1154,8,3.0,21,no,yes,yes,1
1725,yes,1.2000000000000002,yes,1,no,42,1.1,174,8,14,202,1791,3589,10,5.0,4,yes,no,no,3
1056,yes,,,3,,40,0.9,206,7,10,27,774,2298,16,,13,yes,no,yes,1
580,yes,2.7,yes,2,yes,57,0.30000000000000004,172,8,8,1025,1433,1272,15,,6,yes,no,yes,0
598,no,2.2,yes,9,no,64,0.9,121,8,15,885,1854,3240,16,13.0,11,no,no,no,3
1762,no,1.5,yes,5,no,63,0.9,137,8,19,1382,1383,2055,19,12.0,17,no,yes,no,2
1656,yes,1.6,yes,0,yes,43,0.4,119,2,0,546,629,3114,12,5.0,11,yes,yes,no,3
1459,no,2.0,yes,1,yes,16,0.4,112,3,10,1013,1287,1442,17,8.0,13,yes,no,yes,1
1938,no,2.2,yes,10,yes,46,0.7,114,3,20,667,1036,2554,14,7.0,14,yes,no,no,2
825,yes,,,13,,60,0.6,158,8,19,822,1449,907,14,,18,yes,yes,yes,0
989,no,1.4000000000000001,yes,0,yes,61,0.5,117,3,9,581,820,3965,9,4.0,21,yes,no,yes,3
1759,no,0.6,no,8,no,49,0.6,190,6,14,265,713,2058,7,5.0,5,no,no,no,1
1065,no,1.5,yes,2,yes,48,1.1,138,5,4,127,683,2912,15,13.0,10,yes,yes,yes,2
1486,no,3.1,no,3,no,12,0.7,144,3,5,916,969,1459,14,4.0,21,yes,yes,no,1
1158,yes,1.3,yes,0,yes,50,0.9,169,2,0,322,547,472,7,0.0,16,yes,yes,no,0
618,no,2.0,yes,13,yes,44,0.9,91,3,17,651,1618,3368,18,8.0,14,yes,yes,no,3
1868,no,1.5,no,0,no,30,0.6,192,3,0,108,1781,3836,16,11.0,9,no,no,no,3
1244,no,,,0,,10,0.7,175,2,1,459,1225,1052,11,,5,yes,no,yes,0
1168,no,1.6,yes,0,yes,43,0.9,90,4,1,205,603,3995,7,1.0,8,yes,yes,no,3
1450,yes,0.6,yes,6,yes,45,0.9,148,7,11,570,1724,3380,13,11.0,3,yes,yes,yes,3
1409,yes,2.5,no,1,yes,22,0.7999999999999999,114,4,4,1172,1217,2194,9,7.0,14,yes,no,yes,2
1040,no,1.3,no,3,no,43,0.7999999999999999,151,1,5,4,638,3711,11,0.0,13,yes,yes,yes,3
799,yes,3.0,yes,4,no,38,0.6,100,4,6,763,1413,592,9,2.0,7,no,yes,no,0
1116,no,2.9,no,4,yes,9,0.5,207,3,15,1040,1071,909,10,7.0,18,yes,yes,no,0
1236,yes,1.7000000000000002,yes,1,no,33,0.7,182,1,3,166,778,1451,11,7.0,7,no,no,yes,0
1201,yes,2.6,yes,15,yes,16,0.30000000000000004,126,4,20,1168,1552,3450,17,13.0,11,yes,no,yes,3
1105,no,1.1,yes,6,no,29,0.7999999999999999,121,6,8,990,1486,1839,8,7.0,17,no,yes,yes,1
1591,yes,0.7,yes,0,yes,58,1.0,95,7,7,319,1206,3466,19,10.0,7,yes,yes,yes,3
1001,no,,,11,,64,0.30000000000000004,209,4,19,1397,1616,2595,14,,17,yes,yes,no,2
1512,yes,1.0,yes,2,no,45,1.0,190,5,3,708,1752,3486,9,6.0,12,no,yes,yes,3
1010,no,0.9,no,11,no,61,1.1,124,3,15,1077,1122,2011,10,3.0,12,yes,no,no,1
1129,yes,3.0,yes,5,yes,57,0.9,173,1,13,928,1049,2050,11,5.0,18,yes,yes,yes,1
1414,yes,2.5,no,5,no,25,0.9,106,8,17,516,1894,839,15,9.0,5,no,no,yes,1
670,no,0.6,yes,0,no,3,0.2,165,5,13,666,1203,2748,9,5.0,9,yes,yes,yes,2
1311,no,1.2000000000000002,yes,0,no,33,0.6,110,4,14,557,1402,2336,10,1.0,12,yes,no,yes,2
1726,no,2.1,yes,2,yes,57,0.6,187,3,5,1605,1924,2824,19,3.0,17,yes,yes,no,3
887,no,2.4,yes,0,yes,15,0.5,113,7,0,769,802,1412,16,10.0,6,yes,yes,yes,0
881,yes,2.6,no,11,yes,14,0.7999999999999999,93,6,15,403,1105,351,16,10.0,3,yes,no,yes,0
1139,yes,1.1,no,18,no,7,1.1,206,3,19,942,1179,3618,13,5.0,13,yes,yes,yes,3
1357,no,2.4,no,10,yes,23,0.30000000000000004,142,5,16,651,891,882,19,4.0,9,yes,yes,no,0
1667,yes,0.6,no,3,yes,60,0.30000000000000004,204,6,18,1572,1684,1603,18,17.0,15,yes,no,no,2
659,no,2.6,no,0,no,37,0.7999999999999999,151,2,1,476,961,1414,14,3.0,19,no,yes,no,0
595,no,0.6,no,6,no,31,0.5,166,7,7,1233,1317,1694,6,2.0,8,yes,no,no,1
1885,yes,0.6,no,3,yes,10,0.4,156,6,13,836,1739,2602,16,8.0,21,yes,no,no,3
1734,yes,1.2000000000000002,no,4,yes,12,0.9,129,8,9,824,881,1310,16,7.0,12,yes,no,yes,1
545,no,0.6,no,0,no,57,0.7999999999999999,202,5,4,391,984,2415,17,14.0,16,yes,no,no,1
834,no,0.7999999999999999,yes,2,yes,39,0.7999999999999999,113,4,3,125,1504,1801,5,2.0,12,yes,no,yes,1
1663,no,2.0,yes,5,no,23,1.1,182,5,10,846,1634,2678,12,6.0,12,no,yes,yes,3
1659,yes,2.5,no,3,no,42,0.2,208,5,16,1770,1796,2599,18,1.0,15,yes,no,no,3
1777,yes,1.6,no,3,no,41,0.2,173,1,7,1633,1869,2345,19,13.0,15,yes,yes,yes,3
619,yes,2.4,no,0,no,32,0.6,209,7,20,768,874,2215,18,13.0,8,no,no,no,1
1312,yes,1.2000000000000002,yes,13,no,7,1.1,204,5,14,117,513,3184,8,4.0,6,yes,yes,no,2
911,yes,1.5,no,0,no,53,0.4,92,8,0,635,973,3189,12,9.0,5,yes,no,no,2
1086,yes,2.7,no,3,yes,40,1.0,117,3,11,322,771,1947,15,4.0,11,yes,yes,no,1
1310,no,1.4000000000000001,yes,8,no,46,1.0,209,1,12,275,989,490,5,3.0,10,no,yes,no,0
774,yes,2.5,yes,1,yes,10,0.6,90,4,2,1242,1712,3244,18,11.0,5,yes,yes,no,3
827,yes,0.6,yes,7,no,52,1.0,140,3,10,597,863,3536,10,4.0,7,no,yes,no,3
